HUC_8,P_TES,P Saturation
01010001,3.0783996532251723,Saturated
01010002,97.47631175672336,Saturated
01010003,4.228470199723663,Saturated
01010004,26.50196058320837,Saturated
01010005,6.488257585282558,Saturated
01020001,1556.426008972134,Saturated
01020002,1453.9316330466986,Saturated
01020003,44.164175888466616,Saturated
01020004,146.8946718399066,Saturated
01020005,14.730668917340408,Saturated
01030001,1235.8043362382975,Saturated
01030002,2560.8353090740834,Saturated
01030003,17.921738329608427,Saturated
01040001,654.1051045180908,Saturated
01040002,16.564557412079374,Saturated
01050001,684.6473930668378,Saturated
01050002,81.39070477062903,Saturated
01050003,28.08747276869336,Saturated
01050004,1283824.8039331026,Saturated
01060001,192.62214646218357,Saturated
01060002,190.87398709825473,Saturated
01060003,296.82206900217017,Saturated
01070001,7879.153629667422,Saturated
01070002,4206.024823008715,Saturated
01070003,1028.180695305563,Saturated
01070004,201.57286796916668,Saturated
01070005,618.0354744709889,Saturated
01070006,190.85046652574584,Saturated
01080101,138.80211121928266,Saturated
01080102,289.09626264523496,Saturated
01080103,21.412512654176602,Saturated
01080104,170.15739572899346,Saturated
01080105,23.356779417247466,Saturated
01080106,53.53515089241014,Saturated
01080107,97.8875030853121,Saturated
01080201,37.58546721328085,Saturated
01080202,1411.4345465133742,Saturated
01080203,52.47132295217638,Saturated
01080204,6.319062792192371,Saturated
01080205,10.237919310436297,Saturated
01080206,89.8018031551639,Saturated
01080207,126.4881086304662,Saturated
01090001,65.44012256483941,Saturated
01090002,6.21661341559664,Saturated
01090003,1833.6388057040383,Saturated
01090004,49.46909173237506,Saturated
01090005,90.50433179617755,Saturated
01100001,68.33531469800182,Saturated
01100002,46.46605013273366,Saturated
01100003,3.3679010678752483,Saturated
01100004,269.44447566704963,Saturated
01100005,3.8945837678927733,Saturated
01100006,187.4388408058191,Saturated
01110000,11.442973193482768,Saturated
02010001,1.179469510491814,Saturated
02010002,-0.3685582139872332,Not saturated
02010003,12.49461927037752,Saturated
02010004,38.254479006365656,Saturated
02010005,8.770298989144218,Saturated
02010006,38.91454491232455,Saturated
02010007,1.7576259768786622,Saturated
02010008,9.4247223840159,Saturated
02020001,357.34843190821715,Saturated
02020002,97.50381032658736,Saturated
02020003,0.6302560376004676,Saturated
02020004,2.7911825958816845,Saturated
02020005,16.354935641600456,Saturated
02020006,1.0012777942416442,Saturated
02020007,5.570155861870902,Saturated
02020008,14.546686741901176,Saturated
02030101,421.98747665791024,Saturated
02030102,7902.5455438478775,Saturated
02030103,34.74081489506457,Saturated
02030104,16.891668131318582,Saturated
02030105,3.8068287068006543,Saturated
02030201,183.5820031878594,Saturated
02030202,20.529212717134463,Saturated
02030203,51903.34264504382,Saturated
02040101,72.44575010114181,Saturated
02040102,22.354191631061088,Saturated
02040103,7.366387103102784,Saturated
02040104,24.927321948780342,Saturated
02040105,1.8768322443398568,Saturated
02040106,3.9342741232650167,Saturated
02040201,8.583425086781421,Saturated
02040202,1.9717249690334135,Saturated
02040203,0.2702044144269212,Saturated
02040204,inf,Saturated
02040205,11.413558985756676,Saturated
02040206,40.8882913084217,Saturated
02040207,11.207742276256113,Saturated
02040301,16.791563158182786,Saturated
02040302,69.95956503717765,Saturated
02040303,7.28004799333993,Saturated
02040304,5.1759332254524315,Saturated
02050101,17.690421521606574,Saturated
02050102,4.182261666556688,Saturated
02050103,3.1224282276682715,Saturated
02050104,0.8481197575267285,Saturated
02050105,87.99512369551861,Saturated
02050106,-0.1582497010889108,Not saturated
02050107,24.784118740396533,Saturated
02050201,48.101217409440565,Saturated
02050202,165.77236006486058,Saturated
02050203,68.63452217522352,Saturated
02050204,3.1612944079660363,Saturated
02050205,28.36874195799813,Saturated
02050206,1.5770372007422695,Saturated
02050301,3.947185021935612,Saturated
02050302,4.480264304176559,Saturated
02050303,8.557415431645326,Saturated
02050304,2.292951087050397,Saturated
02050305,-0.4123221950982551,Not saturated
02050306,-0.5676939905594188,Not saturated
02060001,inf,Saturated
02060002,5.2320488666529466,Saturated
02060003,27.55869556440911,Saturated
02060004,385.0233560291046,Saturated
02060005,8.126522399686719,Saturated
02060006,179.83951413447463,Saturated
02070001,-0.2658707468192231,Not saturated
02070002,0.5340839424561813,Saturated
02070003,1.221900809557927,Saturated
02070004,0.7845038131293499,Saturated
02070005,0.6399265942705671,Saturated
02070006,0.1878150818143723,Saturated
02070007,23.065401394066463,Saturated
02070008,2.2170106049083143,Saturated
02070009,-0.43747093454564784,Not saturated
02070010,0.48885909042723,Saturated
02070011,2.0804183212698693,Saturated
02080102,26.745092629139762,Saturated
02080103,8.294804774342046,Saturated
02080104,12.150716499334559,Saturated
02080105,7.622608630548215,Saturated
02080106,-0.040964445865356816,Not saturated
02080107,30.8600395184705,Saturated
02080108,1552.3134119668127,Saturated
02080109,0.07490820343388149,Saturated
02080110,3.7473778588355686,Saturated
02080111,10.298052047133863,Saturated
02080201,24.438228957113033,Saturated
02080202,0.6853329034550322,Saturated
02080203,0.08754007080860407,Saturated
02080204,33.151647772757514,Saturated
02080205,14.408969978812813,Saturated
02080206,17.998158101227514,Saturated
02080207,6.8526609503066025,Saturated
02080208,82.83706068582536,Saturated
03010101,0.1416765227900872,Saturated
03010102,5.633481662409299,Saturated
03010103,-0.9712885832503306,Not saturated
03010104,-0.9097056258775724,Not saturated
03010105,2.9438203036611466,Saturated
03010106,19.08783779332736,Saturated
03010107,-1.0,Not saturated
03010201,2.950871013172625,Saturated
03010202,-0.8906280789993185,Not saturated
03010203,-0.278441614519153,Not saturated
03010204,-0.9073739159665742,Not saturated
03010205,-0.9444483021971559,Not saturated
03020101,7.216572064970675,Saturated
03020102,-0.3497168078425033,Not saturated
03020103,5.1407640417666665,Saturated
03020104,3.4543937894137025,Saturated
03020105,38.69221056832409,Saturated
03020201,5.029144000480841,Saturated
03020202,-0.7443031640112259,Not saturated
03020203,0.8965607325797224,Saturated
03020204,-0.4610842818290962,Not saturated
03020301,3.0610558067715354,Saturated
03020302,-0.030049080610749755,Not saturated
03030002,-0.3863502436576765,Not saturated
03030003,-0.9792786162622418,Not saturated
03030004,-0.9856373725368974,Not saturated
03030005,-0.99986228528866,Not saturated
03030006,-0.34148341883787603,Not saturated
03030007,-0.9524664095940836,Not saturated
03040101,-0.28254117151610153,Not saturated
03040102,6.928523046189888,Saturated
03040103,-0.6925179729599641,Not saturated
03040104,-0.9986055435109892,Not saturated
03040105,-0.08507314140619057,Not saturated
03040201,0.4127803094266327,Saturated
03040202,-0.9443027390916384,Not saturated
03040203,-0.992085397245148,Not saturated
03040204,4.588464662580237,Saturated
03040205,-0.9723528075517311,Not saturated
03040206,-0.9972367728872183,Not saturated
03040207,25.206963438466744,Saturated
03040208,-0.9655491048577584,Not saturated
03050101,-0.9009795755230516,Not saturated
03050102,-0.9640298282107496,Not saturated
03050103,-0.9402826776945732,Not saturated
03050104,2.7097246489522595,Saturated
03050105,-0.8378129072000151,Not saturated
03050106,10.460466309869243,Saturated
03050107,0.8707854015053023,Saturated
03050108,40.79281267607833,Saturated
03050109,1.241585652919847,Saturated
03050110,0.02907194723437495,Saturated
03050111,0.8023896650478086,Saturated
03050112,14.936599023187792,Saturated
03050201,1.3415144344118737,Saturated
03050202,112.66604697113593,Saturated
03050203,-0.7060293190509002,Not saturated
03050204,-0.9973810235985052,Not saturated
03050205,1.022619436194457,Saturated
03050206,1.5342810914338316,Saturated
03050207,-0.4140143652113636,Not saturated
03050208,98.2475561099944,Saturated
03050209,363.1962853083109,Saturated
03050210,3518.4148994434986,Saturated
03060101,-0.8497101851589213,Not saturated
03060102,-0.8673454342913209,Not saturated
03060103,2.378927716172322,Saturated
03060104,-0.8571521071041368,Not saturated
03060105,5.052667897524925,Saturated
