HUC_8,M3P_ppm,Soil Fertility Level
01010001,316.37256528617166,Excesive
01010002,166.86830438988932,Excesive
01010003,211.4305671151337,Excesive
01010004,619.4659231061852,Excesive
01010005,221.6315114299139,Excesive
01020001,122.37506258083401,Excesive
01020002,532.5308516784202,Excesive
01020003,457.0004604447052,Excesive
01020005,204.58851356950169,Excesive
01030001,268.8153328184232,Excesive
01030003,210.9054879116228,Excesive
01040001,146.59015418921757,Excesive
01040002,126.96144780925728,Excesive
01050001,129.50312940006822,Excesive
01050002,155.44018128334503,Excesive
01060001,31.427308480441905,Medium
01060002,457.0004604447052,Excesive
01060003,80.34521994759227,Excesive
01070001,96.68390927836222,Excesive
01070002,122.45833732557516,Excesive
01080101,86.45813614840405,Excesive
01080104,279.0780549524937,Excesive
01080105,99.82871471814751,Excesive
01080201,87.93223593605269,Excesive
01080204,179.01560803988198,Excesive
01080205,364.9360507327446,Excesive
01080206,171.69318050076387,Excesive
01080207,66.06592238359268,Excesive
01090001,134.20822960204856,Excesive
01090002,4.460646339662636,Very Low
01090003,440.7601986418638,Excesive
01090004,24.776481576580466,Low
01090005,44.24503697486066,Optimium
01100004,359.5298184201236,Excesive
01100005,296.88555662432236,Excesive
01110000,527.153912248272,Excesive
02010001,221.90435310647862,Excesive
02010002,84.1030336466222,Excesive
02010003,11.424443415211602,Very Low
02010004,160.79940139254228,Excesive
02010005,357.67489589884667,Excesive
02010006,4.919929322401702,Very Low
02010007,226.7651841214656,Excesive
02020001,676.3530115764818,Excesive
02020002,129.7219545443493,Excesive
02020003,283.1161475033056,Excesive
02020004,178.74399406592624,Excesive
02020005,92.92111500316437,Excesive
02020006,154.77516309584752,Excesive
02020008,217.68028515923905,Excesive
02030101,135.8364810710051,Excesive
02030103,138.74287242339034,Excesive
02030104,397.4178899768737,Excesive
02030105,287.93148652391636,Excesive
02040102,0.3058607788459197,Very Low
02040103,268.08038120013197,Excesive
02040104,181.8476771473684,Excesive
02040105,473.2256630280367,Excesive
02040201,116.82296498291416,Excesive
02040202,29.264004431775952,Medium
02040203,536.5397654817981,Excesive
02040205,143.3240888473469,Excesive
02040206,60.98829443295183,Excesive
02040207,62.69332741272893,Excesive
02040301,354.12667987660365,Excesive
02050101,213.81468907273685,Excesive
02050102,320.5146037556944,Excesive
02050103,242.28581158430703,Excesive
02050104,159.70484338055545,Excesive
02050105,405.8015795342021,Excesive
02050106,316.42789158157836,Excesive
02050107,341.0386098104907,Excesive
02050201,121.33342392243469,Excesive
02050202,162.0799595102261,Excesive
02050203,163.28908714851636,Excesive
02050204,11.424443415211602,Very Low
02050205,424.5096172610795,Excesive
02050206,87.93223593605269,Excesive
02050301,221.6315114299139,Excesive
02050302,125.28587139767694,Excesive
02050303,289.6983590852288,Excesive
02050304,639.3300331499373,Excesive
02050305,99.30257073543514,Excesive
02050306,156.73694029794305,Excesive
02060002,93.86765639602207,Excesive
02060003,489.43178764946487,Excesive
02060004,47.099357582938346,Optimium
02060005,47.099357582938346,Optimium
02060006,211.4305671151337,Excesive
02060007,15.722464434000855,Very Low
02060009,408.2542731034677,Excesive
02070002,219.14256339291012,Excesive
02070003,29.07182552191811,Medium
02070004,137.49938136561482,Excesive
02070005,112.46300662807482,Excesive
02070006,148.48367530590713,Excesive
02070008,279.0723073899841,Excesive
02070009,156.6325835836725,Excesive
02070010,105.45818971510964,Excesive
02080102,6.9481410846701435,Very Low
02080103,50.04372970937753,Excesive
02080104,9.75285910312285,Very Low
02080105,20.169226073652002,Low
02080106,18.287909765673138,Low
02080109,11.277010907590144,Very Low
02080201,33.50928176913727,Medium
02080202,56.58263998326552,Excesive
02080203,554.6957191747518,Excesive
02080205,4.460646339662636,Very Low
02080206,25.242922563569174,0
02080207,86.4355211033823,Excesive
02080208,2.162444839083326,Very Low
03010101,136.27358742679456,Excesive
03010102,4.460646339662636,Very Low
03010103,99.88820499065672,Excesive
