,HUC_8,site_id,latitude,longitude,rec_id,horizon,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm,al_pct_q,al_pct,as_ppm,ba_ppm_q,ba_ppm,be_ppm,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,ca_pct,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,fe_pct,ga_ppm_q,ga_ppm,hg_ppm,in_ppm,k_pct,la_ppm,li_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,rb_ppm,s_pct,sb_ppm,sc_ppm,se_ppm,sn_ppm,sr_ppm,te_ppm,th_ppm,ti_pct_q,ti_pct,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm_q,y_ppm,zn_ppm,Unnamed: 125,M3P_ppm,Soil Fertility Level
0,01010001,5041.0,46.8334,-68.8746,1657.5,0.0,47.45,1.5,12.1,12.85,7.5,13.95,0.0,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,5.815,9.7,0.0,393.0,1.45,0.14,2.855,0.0,0.0,0.0,2.855,0.62,0.15000000000000002,64.2,13.65,74.0,0.0,36.25,3.395,0.0,14.85,0.035,0.05,1.675,30.6,37.5,1.025,681.5,0.855,1.025,6.05,45.25,995.0,19.200000000000006,85.5,0.07,0.535,11.45,0.0,1.6,85.0,0.0,7.45,0.0,0.215,0.45,2.1,77.5,0.4,0.0,16.25,77.5,0.0,316.37256528617166,Excesive
1,01010002,233.0,47.0121,-69.1171,1638.0,0.0,56.6,2.4,9.1,11.4,6.2,16.4,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,4.95,4.5,0.0,292.0,0.8,0.22,10.2,0.0,0.0,0.0,10.2,0.15,0.2,52.0,4.4,67.0,0.0,7.7,4.08,0.0,18.7,0.07,0.06,1.2,25.5,21.0,0.44,197.0,0.44,0.5,4.6,17.6,730.0,16.6,80.9,0.05,0.31,10.9,0.4,1.9,43.3,0.0,7.2,0.0,0.19,0.5,1.6,96.0,0.2,0.0,7.5,49.0,0.0,166.86830438988932,Excesive
2,01010003,4329.0,46.9987,-68.622,1655.0,0.0,48.3,0.6,11.8,12.4,5.5,11.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,5.46,7.1,0.0,401.0,1.5,0.17,5.0,0.0,0.0,0.0,5.0,0.34,0.2,63.2,13.7,69.0,0.0,11.1,2.99,0.0,15.0,0.06,0.05,1.31,29.6,42.0,0.66,1430.0,0.42,0.91,4.2,30.3,820.0,23.2,98.4,0.04,0.37,10.4,0.0,1.8,83.2,0.0,7.7,0.0,0.19,0.5,1.9,81.0,0.3,0.0,11.7,94.0,0.0,211.4305671151337,Excesive
3,01010004,2681.0,46.771,-68.3926,1649.0,0.0,39.85,1.2,12.85,14.05,6.449999999999998,12.15,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.45,0.0,0.0,5.785,10.8,0.0,408.5,1.4500000000000002,0.14500000000000002,4.845,0.0,0.0,0.0,4.845,0.5700000000000001,0.35,55.05,14.9,67.5,0.0,27.6,3.535,0.0,14.05,0.11,0.055,1.455,26.6,35.0,0.925,691.0,0.6950000000000001,1.06,6.65,35.45,1595.0,17.35,78.6,0.05,0.495,12.05,0.2,1.75,92.1,0.0,7.45,0.0,0.325,0.4,2.2,101.5,0.55,0.0,14.9,108.0,0.0,619.4659231061852,Excesive
4,01010005,7993.0,46.3507,-67.9118,1672.0,0.0,36.8,0.7,11.9,12.6,9.8,17.4,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,6.41,9.0,0.0,375.0,1.4,0.2,5.06,0.0,0.0,0.0,5.06,0.71,0.4,59.2,16.6,69.0,0.0,30.7,4.11,0.0,15.8,0.09,0.06,1.77,27.2,43.0,1.05,1040.0,0.5,1.08,4.5,47.8,840.0,23.0,93.3,0.04,0.73,13.7,0.0,1.9,97.7,0.0,7.9,0.0,0.22,0.5,1.8,96.0,0.4,0.0,16.4,99.0,0.0,221.6315114299139,Excesive
5,01020001,3086.75,45.894825,-69.48075,1623.25,0.0,50.90000000000001,7.066666666666666,14.025,19.3,5.875,9.775,1.8,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725,0.0,0.0,5.1975,7.4,0.0,419.25,1.575,0.1675,3.1075,0.0,0.0,0.0,3.1075,0.4425,0.36666666666666653,54.75,8.850000000000003,49.0,0.0,14.675,2.5225,0.0,14.175,0.05333333333333334,0.0475,1.6275000000000002,25.725,28.75,0.5925,550.5,0.6225,1.0225,5.775,20.875,620.0,23.55,91.55,0.03666666666666667,0.6,9.475,0.35,1.85,69.1,0.0,7.825,0.0,0.17500000000000002,0.475,1.825,67.5,0.6,0.0,13.725,107.0,0.0,122.37506258083401,Excesive
6,01020002,3897.0,46.1246,-68.5642,1653.0,0.0,45.6,1.4,13.1,14.5,7.9,12.9,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,5.66,22.8,0.0,298.0,1.3,0.24,5.19,0.0,0.0,0.0,5.19,0.45,0.4,54.3,13.6,68.0,0.0,47.8,4.07,0.0,16.3,0.24,0.07,1.03,25.7,26.0,0.79,694.0,0.81,0.99,7.1,28.6,1420.0,25.2,68.0,0.06,0.94,12.7,0.6,2.2,70.2,0.0,7.1,0.0,0.36,0.4,2.2,117.0,0.7,0.0,11.9,94.0,0.0,532.5308516784202,Excesive
7,01020003,1849.0,45.6972,-68.1177,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,20.1,0.0,280.0,1.3,0.22,8.65,0.0,0.0,0.0,0.0,0.43,0.3,38.6,10.5,64.0,0.0,11.7,3.6,0.0,13.7,0.18,0.06,1.03,17.5,33.0,0.45,798.0,0.69,0.89,5.1,22.0,1280.0,20.7,68.6,0.05,0.67,9.4,0.9,1.8,60.0,0.0,7.2,0.0,0.22,0.4,1.7,83.0,0.4,0.0,9.4,97.0,0.0,457.0004604447052,Excesive
8,01020005,2706.6,45.05854,-68.6988,1648.0,0.0,49.34,4.8,14.56,19.3,5.26,9.44,0.0,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.479999999999997,1.0,0.0,5.808,11.34,0.0,361.6,1.6599999999999997,0.17,3.4139999999999997,0.0,0.0,0.0,3.4139999999999997,0.522,0.225,51.72000000000001,10.44,60.2,0.0,14.1,2.9879999999999995,0.0,14.5,0.08800000000000001,0.052000000000000005,1.5519999999999998,23.14,33.0,0.6799999999999999,725.2,0.64,1.052,6.08,30.06,792.0,24.1,88.66,0.038,0.6940000000000001,9.88,0.4400000000000001,2.88,70.34,0.0,7.0200000000000005,0.0,0.24,0.5,1.7599999999999998,68.0,9.080000000000002,0.0,10.02,79.8,0.0,204.58851356950169,Excesive
9,01030001,5641.0,45.6647,-69.94444999999999,1661.0,0.0,54.6,1.45,11.7,13.2,2.8,7.9,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55,0.0,0.0,3.6,4.75,0.0,295.5,0.65,0.195,11.35,0.0,0.0,0.0,11.35,0.49,0.6,23.9,4.05,31.5,0.0,12.75,1.7400000000000002,0.0,9.85,0.09,0.03,0.93,11.55,11.0,0.345,893.5,0.53,0.8699999999999999,3.8,13.0,930.0,61.40000000000001,54.0,0.055000000000000014,0.485,6.2,0.3,2.55,55.85,0.0,3.7,0.0,0.155,0.35,1.1,48.0,0.45,0.0,5.800000000000002,94.5,0.0,268.8153328184232,Excesive
